codes, ebits, ll_aht, d_aht, ratio
4, 89, 1, 0, 94.000000
8, 96, 3, 0, 53.500000
14, 90, 6, 0, 36.666667
20, 97, 9, 0, 31.500000
29, 100, 13, 0, 28.400000
33, 99, 17, 0, 24.833333
30, 93, 21, 0, 20.571429
32, 93, 25, 0, 18.750000
32, 93, 28, 0, 17.000000
40, 96, 33, 0, 16.900000
43, 96, 38, 0, 16.090909
43, 96, 41, 0, 15.000000
43, 96, 44, 0, 14.076923
44, 102, 46, 0, 13.714286
50, 102, 51, 0, 13.533333
45, 96, 55, 0, 12.250000
45, 96, 58, 0, 11.705882
52, 99, 63, 0, 11.888889
58, 96, 69, 0, 11.736842
58, 96, 72, 0, 11.300000
59, 93, 78, 0, 10.952381
69, 100, 84, 0, 11.500000
77, 96, 90, 0, 11.434783
83, 99, 96, 0, 11.583333
83, 99, 100, 0, 11.280000
83, 99, 103, 0, 10.961538
88, 102, 109, 0, 11.074074
87, 102, 112, 0, 10.750000
87, 102, 115, 0, 10.482759
87, 102, 118, 0, 10.233333
88, 102, 124, 0, 10.129032
83, 102, 130, 0, 9.843750
83, 102, 133, 0, 9.636364
100, 117, 139, 1, 10.500000
100, 117, 142, 1, 9.729730
103, 116, 149, 1, 9.710526
103, 116, 154, 1, 9.589744
103, 116, 157, 1, 9.425000
103, 116, 162, 1, 9.317073
103, 116, 165, 1, 9.166667
99, 116, 172, 1, 9.023256
108, 114, 176, 1, 9.068182
108, 114, 181, 1, 8.977778
108, 114, 184, 1, 8.847826
108, 114, 187, 1, 8.723404
118, 117, 192, 3, 8.958333
124, 114, 199, 3, 8.627451
131, 117, 206, 4, 8.807692
133, 117, 213, 4, 7.915254
136, 117, 217, 4, 7.900000
136, 117, 222, 4, 7.852459
136, 117, 226, 4, 7.790323
136, 117, 229, 4, 7.714286
136, 117, 234, 4, 7.671875
135, 117, 241, 4, 7.646154
135, 117, 244, 4, 7.575758
135, 117, 247, 4, 7.507463
141, 114, 254, 7, 7.588235
141, 114, 257, 7, 7.208333
141, 114, 262, 9, 7.205479
141, 114, 265, 9, 6.960526
147, 114, 270, 9, 7.012987
147, 114, 275, 9, 6.987179
142, 114, 281, 9, 6.911392
142, 114, 285, 10, 6.887500
142, 114, 289, 10, 6.686747
153, 121, 296, 10, 6.904762
153, 121, 299, 10, 6.858824
155, 118, 307, 10, 6.860465
158, 118, 313, 10, 6.885057
154, 118, 316, 10, 6.795455
154, 118, 322, 10, 6.786517
158, 118, 330, 10, 6.844444
158, 118, 333, 10, 6.802198
158, 118, 338, 10, 6.782609
157, 118, 346, 10, 6.784946
157, 118, 349, 10, 6.744681
157, 118, 352, 10, 6.705263
156, 118, 358, 10, 6.687500
156, 118, 363, 10, 6.670103
156, 118, 369, 10, 6.663265
149, 118, 372, 10, 6.555556
149, 118, 375, 10, 6.520000
152, 118, 379, 10, 6.524752
152, 118, 383, 11, 6.509804
152, 118, 388, 11, 6.371429
152, 118, 391, 11, 6.339623
152, 118, 397, 11, 6.336449
154, 120, 402, 11, 6.361111
154, 120, 408, 11, 6.357798
161, 120, 413, 11, 6.409091
167, 120, 421, 11, 6.477477
167, 120, 427, 11, 6.473214
167, 120, 433, 11, 6.469027
168, 118, 438, 11, 6.447368
171, 118, 443, 11, 6.460870
178, 118, 451, 11, 6.534483
178, 118, 454, 11, 6.504274
178, 118, 459, 11, 6.491525
179, 120, 464, 11, 6.504202
179, 120, 468, 11, 6.483333
183, 114, 476, 11, 6.479339
185, 114, 484, 12, 6.516393
187, 114, 492, 12, 6.338583
187, 114, 496, 12, 6.320312
191, 114, 500, 12, 6.333333
191, 114, 503, 12, 6.307692
187, 114, 510, 12, 6.282443
187, 114, 513, 12, 6.257576
187, 114, 518, 12, 6.248120
185, 114, 523, 12, 6.223881
186, 114, 529, 12, 6.229630
186, 114, 534, 12, 6.220588
186, 114, 537, 12, 6.197080
194, 111, 541, 16, 6.246377
196, 111, 547, 21, 6.205674
200, 111, 552, 21, 6.096552
201, 111, 561, 21, 6.123288
206, 111, 569, 21, 6.170068
202, 111, 578, 21, 6.162162
203, 111, 584, 21, 6.167785
204, 111, 592, 21, 6.186667
204, 111, 597, 21, 6.178808
204, 111, 600, 21, 6.157895
209, 111, 604, 21, 6.176471
209, 111, 609, 21, 6.168831
207, 110, 618, 21, 6.167742
207, 110, 622, 21, 6.153846
207, 110, 625, 21, 6.133758
207, 110, 630, 21, 6.126582
215, 107, 638, 21, 6.169811
215, 107, 643, 21, 6.162500
212, 104, 652, 21, 6.142857
212, 104, 658, 21, 6.141975
212, 104, 661, 21, 6.122699
219, 101, 669, 21, 6.158537
223, 101, 673, 26, 6.200000
224, 101, 677, 31, 6.148810
224, 101, 682, 31, 6.070175
224, 101, 687, 31, 6.063953
219, 101, 694, 31, 6.040462
219, 101, 699, 31, 6.034483
219, 101, 704, 31, 6.028571
219, 101, 708, 31, 6.017045
225, 101, 716, 31, 6.062147
225, 101, 719, 31, 6.044944
219, 101, 728, 31, 6.027933
225, 101, 734, 31, 6.061111
230, 95, 741, 34, 6.077348
233, 95, 748, 34, 5.967742
233, 95, 753, 34, 5.962567
233, 95, 758, 34, 5.957447
233, 95, 763, 34, 5.952381
233, 95, 767, 34, 5.942105
233, 95, 774, 34, 5.947644
233, 95, 779, 34, 5.942708
232, 95, 786, 37, 5.958549
234, 95, 795, 37, 5.805000
240, 95, 804, 42, 5.875622
241, 95, 810, 45, 5.698565
241, 95, 815, 45, 5.615023
241, 95, 821, 48, 5.630841
241, 95, 828, 48, 5.534247
241, 95, 831, 48, 5.522727
241, 95, 835, 48, 5.515837
241, 95, 840, 48, 5.513514
241, 95, 846, 50, 5.524664
241, 95, 851, 50, 5.425439
241, 95, 856, 50, 5.423581
241, 95, 860, 50, 5.417391
241, 95, 864, 50, 5.411255
241, 95, 869, 50, 5.409483
240, 95, 873, 50, 5.399142
240, 95, 877, 50, 5.393162
240, 95, 881, 50, 5.387234
240, 95, 888, 50, 5.394068
240, 95, 891, 50, 5.383966
239, 97, 896, 50, 5.386555
239, 97, 900, 50, 5.380753
239, 97, 907, 50, 5.387500
235, 97, 912, 53, 5.381743
239, 94, 916, 59, 5.317073
245, 94, 922, 59, 5.301205
245, 94, 925, 59, 5.292000
245, 94, 929, 59, 5.286853
245, 94, 933, 59, 5.281746
245, 94, 936, 59, 5.272727
251, 94, 942, 59, 5.299213
251, 94, 947, 59, 5.298039
251, 94, 954, 59, 5.304688
251, 94, 958, 59, 5.299611
251, 94, 961, 59, 5.290698
251, 94, 967, 59, 5.293436
255, 94, 973, 59, 5.311538
255, 94, 976, 59, 5.302682
255, 94, 980, 59, 5.297710
256, 92, 986, 59, 5.296578
258, 92, 990, 62, 5.310606
258, 92, 997, 62, 5.277154
258, 92, 1001, 62, 5.272388
258, 92, 1004, 62, 5.263941
258, 92, 1008, 64, 5.266667
258, 92, 1012, 67, 5.234432
258, 92, 1016, 67, 5.192029
258, 92, 1020, 70, 5.198556
263, 92, 1029, 73, 5.203571
263, 92, 1035, 73, 5.044828
263, 92, 1039, 73, 5.041237
266, 92, 1044, 79, 5.071918
266, 92, 1048, 79, 5.000000
266, 92, 1051, 79, 4.993289
266, 92, 1058, 79, 5.000000
266, 92, 1062, 79, 4.996667
266, 92, 1065, 79, 4.990033
266, 92, 1070, 79, 4.990066
266, 92, 1073, 79, 4.983498
272, 92, 1082, 79, 5.016447
267, 92, 1090, 79, 5.009836
267, 92, 1097, 79, 5.016340
267, 92, 1103, 79, 5.019544
268, 92, 1112, 79, 5.035714
268, 92, 1115, 79, 5.029126
267, 92, 1122, 79, 5.032258
267, 92, 1127, 79, 5.032154
267, 92, 1134, 79, 5.038462
272, 92, 1140, 79, 5.057508
272, 92, 1146, 79, 5.060510
267, 92, 1154, 79, 5.053968
267, 92, 1161, 81, 5.066456
267, 92, 1166, 81, 4.926380
272, 92, 1172, 81, 4.944954
272, 92, 1176, 81, 4.942073
272, 92, 1183, 81, 4.948328
274, 92, 1187, 87, 4.969697
274, 92, 1193, 87, 4.942943
274, 92, 1199, 89, 4.952096
274, 92, 1203, 89, 4.905325
274, 92, 1209, 89, 4.908555
274, 92, 1214, 89, 4.908824
274, 92, 1219, 89, 4.909091
274, 92, 1225, 89, 4.912281
271, 92, 1235, 93, 4.930029
271, 92, 1241, 93, 4.780282
278, 92, 1250, 95, 4.817416
278, 92, 1254, 97, 4.754144
273, 92, 1262, 97, 4.723288
273, 92, 1266, 100, 4.729508
273, 92, 1270, 100, 4.701897
273, 92, 1273, 100, 4.697297
279, 92, 1280, 100, 4.719677
279, 92, 1285, 100, 4.720430
279, 92, 1290, 100, 4.721180
279, 92, 1296, 103, 4.732620
279, 92, 1301, 103, 4.695767
279, 92, 1307, 103, 4.699208
279, 92, 1311, 103, 4.697368
279, 92, 1318, 103, 4.703412
279, 92, 1322, 106, 4.709424
279, 92, 1328, 106, 4.688312
279, 92, 1333, 106, 4.689119
279, 92, 1338, 106, 4.689922
279, 92, 1343, 106, 4.690722
281, 95, 1353, 106, 4.717224
281, 95, 1357, 110, 4.725641
281, 95, 1362, 110, 4.702290
281, 95, 1369, 110, 4.708122
281, 95, 1375, 115, 4.724051
286, 95, 1382, 117, 4.711779
286, 95, 1387, 117, 4.654321
286, 95, 1391, 117, 4.652709
286, 95, 1397, 117, 4.656020
286, 95, 1401, 117, 4.654412
286, 95, 1405, 119, 4.657702
286, 95, 1412, 121, 4.645631
283, 95, 1417, 126, 4.595694
275, 95, 1425, 126, 4.552133
275, 95, 1429, 126, 4.550827
275, 95, 1433, 126, 4.549528
275, 95, 1439, 126, 4.552941
275, 95, 1444, 126, 4.553991
275, 95, 1448, 126, 4.552693
275, 95, 1453, 126, 4.553738
275, 95, 1457, 126, 4.552448
278, 95, 1461, 130, 4.567442
278, 95, 1466, 130, 4.547344
278, 95, 1471, 130, 4.548387
278, 95, 1475, 130, 4.547126
278, 95, 1479, 130, 4.545872
278, 95, 1484, 130, 4.546911
280, 95, 1488, 137, 4.566210
280, 95, 1493, 137, 4.546485
280, 95, 1498, 137, 4.547511
280, 95, 1504, 137, 4.550790
280, 95, 1508, 137, 4.549550
280, 95, 1513, 137, 4.550562
280, 95, 1520, 137, 4.556054
280, 95, 1523, 137, 4.552573
280, 95, 1530, 137, 4.558036
280, 95, 1534, 137, 4.556793
287, 95, 1540, 137, 4.575556
287, 95, 1543, 137, 4.572062
285, 95, 1551, 137, 4.575221
278, 95, 1559, 137, 4.567329
278, 95, 1565, 137, 4.570485
278, 95, 1571, 141, 4.582418
281, 95, 1578, 145, 4.563043
281, 95, 1582, 149, 4.502137
281, 95, 1586, 154, 4.492569
281, 95, 1590, 154, 4.472574
281, 95, 1594, 154, 4.471579
281, 95, 1601, 154, 4.476891
281, 95, 1606, 154, 4.477987
281, 95, 1611, 154, 4.479079
281, 95, 1616, 157, 4.486430
281, 95, 1621, 157, 4.450413
281, 95, 1624, 157, 4.447423
281, 95, 1630, 157, 4.450617
281, 95, 1634, 157, 4.449692
283, 95, 1641, 157, 4.459016
283, 95, 1647, 157, 4.462168
281, 95, 1652, 162, 4.469388
281, 95, 1657, 165, 4.449393
281, 95, 1662, 165, 4.423695
281, 95, 1666, 168, 4.428858
292, 98, 1676, 171, 4.456175
289, 92, 1680, 175, 4.275335
289, 92, 1684, 175, 4.258555
289, 92, 1688, 175, 4.258065
289, 92, 1693, 175, 4.259470
289, 92, 1698, 175, 4.260870
289, 92, 1703, 180, 4.271698
289, 92, 1709, 180, 4.242991
289, 92, 1715, 180, 4.246269
291, 98, 1722, 182, 4.270019
291, 98, 1727, 182, 4.224265
289, 92, 1731, 186, 4.216514
289, 92, 1737, 186, 4.204380
289, 92, 1741, 186, 4.204007
289, 92, 1745, 189, 4.209091
289, 92, 1749, 192, 4.198915
284, 92, 1757, 195, 4.187050
284, 92, 1761, 198, 4.046794
284, 92, 1766, 198, 4.034483
284, 92, 1773, 198, 4.039587
284, 92, 1777, 198, 4.039519
284, 92, 1782, 198, 4.041166
284, 92, 1787, 198, 4.042808
284, 92, 1794, 201, 4.052991
284, 92, 1798, 204, 4.023689
284, 92, 1805, 204, 4.015152
