bytes, codes, ebits, ll_aht, d_aht, ratio
1, 3, 82, 1, 0, 86.000000
2, 7, 89, 3, 0, 49.500000
3, 11, 82, 6, 0, 33.000000
7, 28, 88, 9, 1, 18.000000
8, 31, 88, 13, 1, 16.625000
9, 36, 88, 17, 1, 15.777778
10, 35, 88, 21, 1, 14.500000
11, 43, 88, 25, 1, 14.272727
12, 50, 88, 30, 1, 14.083333
13, 50, 88, 35, 1, 13.384615
14, 52, 85, 40, 1, 12.714286
15, 50, 82, 45, 1, 11.866667
16, 50, 82, 48, 1, 11.312500
17, 49, 82, 53, 1, 10.882353
18, 45, 82, 58, 1, 10.333333
19, 53, 82, 61, 1, 10.368421
20, 53, 82, 65, 1, 10.050000
21, 55, 82, 71, 1, 9.952381
22, 51, 82, 77, 1, 9.590909
23, 55, 82, 83, 1, 9.608696
24, 60, 82, 89, 1, 9.666667
25, 68, 82, 92, 1, 9.720000
26, 68, 82, 96, 1, 9.500000
27, 72, 82, 102, 1, 9.518519
28, 72, 82, 106, 1, 9.321429
29, 72, 82, 112, 1, 9.206897
30, 72, 82, 116, 1, 9.033333
31, 72, 82, 119, 1, 8.838710
32, 72, 82, 123, 1, 8.687500
33, 74, 82, 129, 1, 8.666667
34, 74, 82, 132, 1, 8.500000
35, 71, 82, 138, 1, 8.342857
36, 78, 82, 144, 1, 8.472222
37, 78, 82, 149, 1, 8.378378
38, 78, 82, 154, 1, 8.289474
39, 79, 82, 161, 1, 8.282051
40, 79, 82, 165, 1, 8.175000
41, 76, 82, 172, 1, 8.073171
42, 80, 84, 179, 1, 8.190476
43, 80, 84, 186, 1, 8.162791
44, 77, 86, 193, 1, 8.113636
45, 87, 86, 200, 1, 8.311111
46, 91, 86, 207, 1, 8.369565
47, 91, 86, 212, 1, 8.297872
48, 89, 84, 217, 1, 8.145833
49, 89, 84, 221, 1, 8.061224
50, 93, 82, 225, 1, 8.020000
51, 102, 82, 232, 1, 8.176471
52, 102, 82, 237, 1, 8.115385
53, 102, 82, 242, 1, 8.056604
54, 105, 82, 249, 1, 8.092593
55, 110, 82, 256, 1, 8.163636
56, 110, 82, 261, 1, 8.107143
57, 112, 82, 268, 1, 8.122807
58, 116, 82, 275, 1, 8.172414
59, 116, 82, 280, 1, 8.118644
60, 118, 84, 287, 1, 8.166667
61, 126, 87, 294, 1, 8.327869
62, 124, 87, 301, 1, 8.274194
63, 131, 87, 308, 1, 8.365079
64, 128, 90, 316, 1, 8.359375
65, 130, 88, 321, 1, 8.307692
66, 134, 88, 328, 1, 8.348485
67, 143, 88, 335, 1, 8.462687
68, 137, 88, 341, 1, 8.338235
69, 144, 88, 346, 1, 8.391304
70, 144, 88, 354, 1, 8.385714
71, 144, 88, 360, 1, 8.352113
72, 144, 88, 368, 1, 8.347222
73, 149, 91, 376, 1, 8.452055
74, 148, 91, 384, 1, 8.432432
75, 154, 96, 392, 1, 8.573333
76, 153, 96, 400, 1, 8.552632
77, 152, 96, 408, 1, 8.532468
78, 154, 98, 416, 1, 8.576923
79, 157, 98, 424, 1, 8.607595
80, 156, 95, 432, 1, 8.550000
81, 156, 95, 438, 1, 8.518519
82, 162, 100, 446, 1, 8.646341
83, 162, 100, 452, 1, 8.614458
84, 163, 100, 460, 1, 8.619048
85, 165, 103, 468, 1, 8.670588
86, 165, 103, 474, 1, 8.639535
87, 163, 103, 482, 1, 8.609195
88, 165, 108, 490, 1, 8.681818
89, 161, 108, 498, 1, 8.629213
90, 158, 110, 506, 1, 8.611111
91, 171, 108, 514, 1, 8.725275
92, 171, 108, 520, 1, 8.695652
93, 181, 108, 528, 1, 8.795699
94, 190, 106, 536, 1, 8.861702
95, 200, 106, 541, 1, 8.926316
96, 206, 106, 549, 1, 8.979167
97, 215, 109, 557, 1, 9.092784
98, 220, 109, 565, 1, 9.132653
99, 226, 112, 573, 1, 9.212121
100, 231, 110, 581, 1, 9.230000
101, 228, 112, 589, 1, 9.207921
102, 233, 109, 597, 1, 9.215686
103, 238, 112, 605, 1, 9.281553
104, 241, 110, 611, 1, 9.259615
105, 244, 108, 617, 1, 9.238095
106, 249, 111, 625, 1, 9.301887
107, 249, 111, 631, 1, 9.271028
108, 251, 111, 639, 1, 9.277778
109, 258, 118, 647, 1, 9.394495
110, 258, 118, 653, 1, 9.363636
111, 263, 121, 661, 1, 9.423423
112, 267, 117, 669, 1, 9.410714
113, 270, 114, 677, 1, 9.398230
114, 276, 114, 685, 1, 9.438596
115, 276, 114, 691, 1, 9.408696
116, 280, 114, 699, 1, 9.431034
117, 282, 114, 707, 1, 9.435897
118, 283, 114, 712, 1, 9.406780
119, 284, 114, 720, 1, 9.403361
120, 284, 114, 728, 1, 9.391667
121, 284, 114, 734, 1, 9.363636
122, 290, 121, 742, 1, 9.459016
123, 289, 121, 750, 1, 9.439024
124, 297, 121, 755, 1, 9.467742
125, 294, 124, 764, 1, 9.464000
126, 293, 124, 772, 1, 9.444444
127, 290, 124, 780, 1, 9.409449
128, 299, 121, 788, 1, 9.445312
129, 290, 121, 797, 1, 9.372093
130, 300, 121, 803, 1, 9.423077
131, 300, 121, 809, 1, 9.396947
132, 288, 119, 816, 1, 9.272727
133, 294, 119, 824, 1, 9.308271
134, 290, 122, 833, 1, 9.298507
135, 300, 121, 841, 1, 9.355556
136, 293, 121, 848, 1, 9.286765
137, 302, 121, 854, 1, 9.328467
138, 302, 121, 861, 1, 9.311594
139, 298, 121, 870, 1, 9.280576
140, 298, 121, 877, 1, 9.264286
141, 298, 121, 883, 1, 9.241135
142, 298, 121, 889, 1, 9.218310
143, 298, 121, 898, 1, 9.216783
144, 302, 121, 907, 1, 9.243056
145, 303, 118, 916, 1, 9.227586
146, 304, 118, 925, 1, 9.232877
147, 303, 118, 934, 1, 9.224490
148, 306, 121, 943, 1, 9.263514
149, 310, 128, 952, 1, 9.335570
150, 313, 130, 961, 1, 9.366667
151, 313, 130, 968, 1, 9.350993
152, 315, 129, 977, 1, 9.355263
153, 316, 129, 986, 1, 9.359477
154, 317, 128, 995, 1, 9.357143
155, 317, 128, 1004, 1, 9.354839
156, 316, 128, 1013, 1, 9.346154
157, 316, 128, 1020, 1, 9.331210
158, 313, 128, 1029, 1, 9.310127
159, 313, 128, 1036, 1, 9.295597
160, 314, 128, 1042, 1, 9.281250
161, 316, 127, 1051, 1, 9.285714
162, 316, 127, 1058, 1, 9.271605
163, 316, 127, 1065, 1, 9.257669
164, 313, 127, 1074, 1, 9.237805
165, 313, 127, 1081, 1, 9.224242
166, 313, 127, 1087, 1, 9.204819
167, 314, 131, 1096, 1, 9.233533
168, 314, 131, 1103, 1, 9.220238
169, 311, 131, 1112, 1, 9.201183
170, 312, 133, 1121, 1, 9.217647
171, 312, 133, 1128, 1, 9.204678
172, 312, 133, 1135, 1, 9.191860
173, 311, 130, 1144, 1, 9.167630
174, 311, 130, 1151, 1, 9.155172
175, 311, 130, 1158, 1, 9.142857
176, 311, 130, 1165, 1, 9.130682
177, 308, 130, 1174, 1, 9.112994
178, 307, 130, 1180, 1, 9.089888
179, 309, 130, 1186, 1, 9.083799
180, 309, 130, 1192, 1, 9.066667
181, 304, 132, 1201, 1, 9.049724
182, 304, 132, 1208, 1, 9.038462
183, 318, 130, 1214, 1, 9.087432
184, 325, 130, 1223, 1, 9.125000
185, 325, 130, 1230, 1, 9.113514
186, 333, 128, 1236, 1, 9.129032
187, 340, 126, 1242, 1, 9.139037
188, 349, 126, 1248, 1, 9.170213
189, 352, 124, 1257, 1, 9.174603
190, 352, 124, 1263, 1, 9.157895
191, 361, 124, 1269, 1, 9.188482
192, 366, 124, 1278, 1, 9.213542
193, 366, 124, 1284, 1, 9.196891
194, 375, 124, 1290, 1, 9.226804
195, 375, 124, 1297, 1, 9.215385
196, 375, 124, 1304, 1, 9.204082
197, 375, 124, 1310, 1, 9.187817
198, 375, 124, 1316, 1, 9.171717
199, 375, 124, 1323, 1, 9.160804
200, 389, 124, 1328, 1, 9.210000
201, 389, 124, 1335, 1, 9.199005
