bytes, compressed_bits
1, 94
2, 107
3, 108
4, 120
5, 132
6, 142
7, 131
8, 146
9, 165
10, 173
11, 176
12, 185
13, 196
14, 211
15, 212
16, 226
17, 233
18, 243
19, 258
20, 277
21, 294
22, 308
23, 325
24, 342
25, 346
26, 356
27, 367
28, 375
29, 386
30, 388
31, 390
32, 408
33, 419
34, 423
35, 443
36, 463
37, 487
38, 507
39, 521
40, 536
41, 549
42, 556
43, 565
44, 572
45, 579
46, 590
47, 600
48, 613
49, 620
50, 625
51, 631
52, 634
53, 639
54, 638
55, 650
56, 659
57, 666
58, 676
59, 683
60, 688
61, 697
62, 705
63, 704
64, 720
65, 724
66, 729
67, 738
68, 741
69, 747
70, 753
71, 759
72, 765
73, 771
74, 777
81, 822
82, 828
87, 836
97, 861
98, 867
99, 872
100, 897
101, 914
102, 931
105, 945
106, 960
107, 971
108, 983
109, 996
110, 1005
111, 1015
112, 1021
113, 1029
114, 1047
115, 1051
116, 1059
117, 1069
118, 1077
119, 1089
120, 1097
123, 1104
124, 1110
125, 1116
126, 1124
127, 1132
128, 1136
129, 1142
130, 1152
131, 1158
132, 1170
133, 1178
134, 1184
135, 1191
136, 1199
137, 1207
138, 1219
139, 1226
140, 1232
141, 1243
142, 1248
143, 1257
144, 1264
145, 1269
146, 1274
147, 1278
148, 1284
149, 1301
150, 1303
151, 1318
152, 1315
153, 1326
154, 1331
155, 1342
156, 1345
157, 1351
158, 1358
159, 1366
160, 1373
161, 1379
162, 1386
163, 1395
164, 1401
165, 1407
166, 1422
167, 1432
168, 1444
169, 1451
170, 1458
171, 1464
172, 1474
173, 1484
174, 1491
175, 1499
176, 1506
177, 1513
178, 1523
179, 1531
180, 1547
181, 1554
182, 1559
183, 1566
184, 1576
185, 1581
186, 1590
187, 1597
188, 1604
189, 1612
190, 1619
191, 1623
192, 1630
193, 1647
194, 1663
195, 1683
196, 1697
197, 1703
198, 1710
199, 1717
200, 1725
201, 1732
202, 1750
203, 1768
204, 1781
205, 1788
206, 1795
207, 1815
208, 1822
209, 1837
210, 1840
211, 1854
212, 1862
213, 1876
214, 1887
215, 1895
216, 1902
217, 1911
218, 1924
219, 1934
220, 1943
221, 1959
222, 1972
223, 1974
224, 1987
225, 1997
226, 2013
227, 2025
228, 2031
229, 2042
230, 2057
231, 2071
232, 2080
233, 2091
234, 2100
235, 2107
236, 2114
237, 2121
238, 2128
239, 2138
240, 2145
241, 2154
242, 2159
243, 2168
244, 2181
245, 2189
246, 2198
247, 2215
248, 2222
249, 2229
250, 2238
251, 2245
252, 2254
253, 2262
254, 2269
255, 2274
256, 2280
257, 2287
258, 2297
259, 2303
260, 2310
261, 2320
262, 2326
263, 2343
264, 2346
265, 2353
266, 2366
267, 2364
268, 2370
269, 2386
270, 2392
271, 2398
272, 2400
273, 2406
274, 2422
275, 2429
276, 2430
277, 2443
278, 2441
279, 2448
280, 2455
281, 2471
282, 2467
283, 2483
284, 2484
285, 2491
286, 2508
287, 2514
288, 2514
289, 2521
290, 2528
291, 2535
292, 2542
293, 2558
294, 2565
295, 2563
296, 2569
297, 2584
298, 2594
299, 2601
300, 2608
303, 2629
304, 2636
305, 2644
306, 2650
307, 2657
308, 2660
309, 2668
312, 2677
315, 2701
316, 2708
317, 2714
318, 2721
319, 2728
320, 2735
321, 2741
322, 2751
323, 2757
324, 2763
325, 2770
326, 2777
327, 2783
328, 2790
329, 2797
330, 2803
331, 2809
332, 2815
333, 2822
334, 2831
335, 2837
336, 2843
339, 2850
340, 2857
341, 2863
342, 2870
345, 2877
346, 2884
347, 2891
348, 2907
349, 2915
350, 2923
351, 2931
352, 2939
353, 2952
354, 2963
355, 2965
356, 2971
357, 2984
358, 2991
359, 2998
360, 3006
361, 3013
362, 3019
363, 3026
364, 3034
365, 3041
366, 3053
367, 3061
368, 3068
371, 3075
372, 3083
373, 3090
374, 3095
375, 3107
376, 3115
377, 3119
378, 3129
379, 3136
380, 3142
383, 3147
384, 3155
385, 3163
386, 3169
387, 3174
388, 3182
389, 3177
390, 3184
393, 3190
394, 3197
395, 3203
396, 3211
399, 3217
400, 3226
401, 3232
402, 3237
403, 3244
404, 3250
407, 3256
408, 3264
411, 3270
412, 3278
413, 3285
414, 3293
415, 3301
416, 3309
417, 3317
418, 3324
419, 3329
420, 3336
421, 3346
422, 3351
423, 3359
424, 3366
425, 3375
426, 3394
427, 3416
428, 3422
429, 3430
430, 3437
431, 3481
