bytes, compressed_bits
1, 94
2, 106
3, 103
4, 115
5, 126
6, 133
7, 130
8, 146
9, 149
10, 143
13, 176
14, 181
17, 185
18, 192
19, 195
20, 208
23, 212
24, 222
25, 226
26, 229
27, 233
28, 237
29, 240
30, 242
33, 246
36, 270
37, 274
38, 284
39, 289
40, 291
41, 301
42, 305
43, 318
44, 318
55, 338
56, 341
59, 345
60, 359
61, 363
73, 369
74, 374
75, 379
76, 383
77, 389
83, 404
84, 418
85, 423
86, 428
87, 439
91, 448
92, 450
95, 454
96, 459
97, 468
98, 471
103, 478
106, 483
110, 503
116, 505
117, 519
118, 523
119, 529
120, 536
121, 540
131, 555
132, 555
133, 559
134, 563
137, 567
138, 578
139, 583
140, 587
143, 591
144, 596
145, 601
148, 617
149, 623
155, 631
156, 636
157, 645
158, 649
161, 659
162, 668
163, 672
164, 676
165, 680
166, 684
167, 688
168, 694
169, 699
170, 709
171, 718
172, 722
173, 727
174, 731
175, 735
176, 741
177, 747
178, 764
179, 771
180, 776
183, 790
184, 794
185, 799
186, 805
187, 813
188, 817
189, 819
190, 825
191, 830
194, 834
197, 838
198, 845
199, 849
200, 856
201, 861
202, 865
203, 869
206, 875
215, 883
216, 888
217, 894
218, 898
221, 902
222, 909
223, 913
229, 919
230, 926
233, 930
234, 935
235, 939
238, 946
239, 959
240, 964
241, 969
242, 973
243, 978
244, 982
245, 988
246, 1000
247, 1004
248, 1009
249, 1023
250, 1029
251, 1042
252, 1042
253, 1046
258, 1059
259, 1065
260, 1070
261, 1080
262, 1092
263, 1097
264, 1107
265, 1115
266, 1120
267, 1127
268, 1133
272, 1145
273, 1153
274, 1160
275, 1165
281, 1171
282, 1182
283, 1193
284, 1198
285, 1204
286, 1211
287, 1216
288, 1236
289, 1242
290, 1247
294, 1254
295, 1260
299, 1266
300, 1276
301, 1282
302, 1287
303, 1295
304, 1300
305, 1305
309, 1314
310, 1320
315, 1329
316, 1332
317, 1337
318, 1341
319, 1346
320, 1351
329, 1359
330, 1377
331, 1394
332, 1399
333, 1406
334, 1413
335, 1432
336, 1444
337, 1450
338, 1454
339, 1474
340, 1482
341, 1487
342, 1491
343, 1495
344, 1509
345, 1514
346, 1518
347, 1525
348, 1538
349, 1551
356, 1560
357, 1570
358, 1576
359, 1586
360, 1596
361, 1602
362, 1607
365, 1612
366, 1625
367, 1644
368, 1647
369, 1654
370, 1667
371, 1665
372, 1674
373, 1681
374, 1691
377, 1696
378, 1709
379, 1715
380, 1719
381, 1722
382, 1729
383, 1731
384, 1737
385, 1744
386, 1757
390, 1763
391, 1764
392, 1769
395, 1774
396, 1774
401, 1781
402, 1791
403, 1814
404, 1818
407, 1823
408, 1822
412, 1828
413, 1835
414, 1848
415, 1854
416, 1859
417, 1868
418, 1874
419, 1879
420, 1899
421, 1904
422, 1909
423, 1913
424, 1919
425, 1924
426, 1947
427, 1953
428, 1958
429, 1954
430, 1959
431, 1964
432, 1978
433, 1984
434, 1989
435, 1992
436, 1997
437, 2002
438, 2015
439, 2021
440, 2026
444, 2032
445, 2035
446, 2041
449, 2046
450, 2061
451, 2062
452, 2067
453, 2073
454, 2085
455, 2096
458, 2101
459, 2104
460, 2111
461, 2115
462, 2135
463, 2141
464, 2146
465, 2153
466, 2159
467, 2164
468, 2177
469, 2179
470, 2184
471, 2207
472, 2215
473, 2219
474, 2230
475, 2237
476, 2242
477, 2244
478, 2257
479, 2262
480, 2269
481, 2273
482, 2280
483, 2292
484, 2297
485, 2302
488, 2309
493, 2321
494, 2326
498, 2332
499, 2338
500, 2343
501, 2350
502, 2356
503, 2361
504, 2363
505, 2376
506, 2381
507, 2388
508, 2394
509, 2399
515, 2406
516, 2414
517, 2419
518, 2426
519, 2432
520, 2438
521, 2443
522, 2450
523, 2456
524, 2461
525, 2469
526, 2475
527, 2480
528, 2488
529, 2495
533, 2504
534, 2516
535, 2522
536, 2527
537, 2539
538, 2546
539, 2560
540, 2568
541, 2580
542, 2585
543, 2597
544, 2604
545, 2609
546, 2625
547, 2632
551, 2638
552, 2647
553, 2654
554, 2659
557, 2664
558, 2682
559, 2689
560, 2696
561, 2703
562, 2709
563, 2715
564, 2726
565, 2734
566, 2740
567, 2748
568, 2755
569, 2761
570, 2769
571, 2776
572, 2780
573, 2788
574, 2795
575, 2800
576, 2801
577, 2807
581, 2813
582, 2820
583, 2827
584, 2831
585, 2840
586, 2846
587, 2851
588, 2868
589, 2883
590, 2887
591, 2901
592, 2907
593, 2911
594, 2925
595, 2931
596, 2945
601, 2952
602, 2958
605, 2963
606, 2973
607, 2974
608, 2974
609, 2980
610, 2986
611, 2992
612, 2998
613, 3004
614, 3010
619, 3017
622, 3024
623, 3030
624, 3037
625, 3043
626, 3049
627, 3056
635, 3065
636, 3079
637, 3085
638, 3091
639, 3098
640, 3104
641, 3110
647, 3117
648, 3125
649, 3131
650, 3137
651, 3149
652, 3158
653, 3164
654, 3174
655, 3179
656, 3185
657, 3182
658, 3188
659, 3194
660, 3208
661, 3214
666, 3221
667, 3227
668, 3233
674, 3240
675, 3247
676, 3257
683, 3268
684, 3283
685, 3289
686, 3294
687, 3285
688, 3290
691, 3304
695, 3318
698, 3327
703, 3339
704, 3344
705, 3357
706, 3362
707, 3367
708, 3374
711, 3381
712, 3388
713, 3394
714, 3401
715, 3407
716, 3413
719, 3418
720, 3422
721, 3427
738, 3452
739, 3458
740, 3463
748, 3473
749, 3478
750, 3483
751, 3489
752, 3495
753, 3502
754, 3501
755, 3507
762, 3513
763, 3518
764, 3524
765, 3531
766, 3537
769, 3546
770, 3551
771, 3559
772, 3565
773, 3571
774, 3578
775, 3583
776, 3588
777, 3606
778, 3611
779, 3617
780, 3633
781, 3639
782, 3645
785, 3650
786, 3642
789, 3649
790, 3654
791, 3659
794, 3667
799, 3674
800, 3687
803, 3694
804, 3695
805, 3701
806, 3708
807, 3723
808, 3728
809, 3740
810, 3739
811, 3745
812, 3750
813, 3761
814, 3766
827, 3781
828, 3786
829, 3791
830, 3796
836, 3803
837, 3808
838, 3813
839, 3818
840, 3833
847, 3841
848, 3846
849, 3854
850, 3859
851, 3864
852, 3871
